,회사ID,연매출액,월별_연금보험료,월별_직원수,년월,연매출액_변화량,월별_직원수_변화량
9295,391439,2465042,646460,4,201511,0,0
31242,391439,2465042,745460,5,201512,0,1
81351,391439,2407991,745460,5,201601,-57051,0
49233,391439,2407991,745460,5,201602,0,0
74965,391439,2407991,745460,5,201603,0,0
87522,391439,2407991,745460,5,201604,0,0
71574,391439,2407991,745460,5,201605,0,0
5161,391439,2407991,669140,4,201606,0,-1
51782,391439,2407991,863180,5,201607,0,1
22203,391439,2407991,863180,5,201608,0,0
63990,391439,2407991,863180,5,201609,0,0
83803,391439,2407991,863180,5,201610,0,0
25006,391439,2407991,863180,5,201611,0,0
81881,391439,2407991,863180,5,201612,0,0
56457,391439,5000791,977740,5,201801,2592800,0
52396,391439,5000791,977740,5,201802,0,0
51574,391439,5000791,977740,5,201803,0,0
3624,391439,5000791,977740,5,201804,0,0
64276,391439,5000791,977740,5,201805,0,0
39142,391439,5000791,977740,5,201806,0,0
4309,391439,5000791,882860,5,201807,0,0
75695,391439,5000791,882860,5,201808,0,0
57847,391439,5000791,882860,5,201809,0,0
23786,391439,5000791,882860,5,201810,0,0
285,391439,5000791,1080860,6,201811,0,1
23644,391439,5000791,1080860,6,201812,0,0
5572,305317,12271715,5065780,18,201511,0,0
38970,305317,12271715,4912780,17,201512,0,-1
10579,305317,21307496,4912780,17,201601,9035781,0
35757,305317,21307496,4912780,17,201602,0,0
13923,305317,21307496,4912780,17,201603,0,0
34226,305317,21307496,4912780,17,201604,0,0
17887,305317,21307496,4912780,17,201605,0,0
81281,305317,21307496,5083780,18,201606,0,1
3143,305317,21307496,5784000,18,201607,0,0
20259,305317,21307496,5784000,18,201608,0,0
86498,305317,21307496,5784000,18,201609,0,0
56088,305317,21307496,5928000,19,201610,0,1
82951,305317,21307496,5928000,19,201611,0,0
34422,305317,21307496,5928000,19,201612,0,0
67288,305317,39835550,5928000,19,201701,18528054,0
11881,305317,39835550,5928000,19,201702,0,0
54290,305317,39835550,5928000,19,201703,0,0
45434,305317,39835550,6281700,20,201704,0,1
9774,305317,39835550,6281700,20,201705,0,0
505,305317,39835550,6425700,21,201706,0,1
11645,305317,39835550,5733960,17,201707,0,-4
15405,305317,39835550,5890020,18,201708,0,1
16463,305317,39835550,5733960,17,201709,0,-1
14799,305317,39835550,5733960,17,201710,0,0
58192,305317,39835550,5733960,17,201711,0,0
22408,305317,39835550,5733960,17,201712,0,0
59967,305317,17748059,5733960,17,201801,-22087491,0
47625,305317,17748059,5751420,17,201802,0,0
86441,305317,17748059,5751420,17,201803,0,0
31908,305317,17748059,5751420,17,201804,0,0
33656,305317,17748059,5751420,17,201805,0,0
26355,305317,17748059,5751420,17,201806,0,0
69689,305317,17748059,7929040,24,201807,0,7
23842,305317,17748059,7741220,23,201808,0,-1
99439,305317,17748059,7912220,24,201809,0,1
37733,305317,17748059,7912220,24,201810,0,0
7752,305317,17748059,7912220,24,201811,0,0
87641,305317,17748059,7912220,24,201812,0,0
78461,301480,8353896,5993500,27,201511,0,0
2947,301480,8353896,5939600,28,201512,0,1
11162,301480,6037650,5939600,28,201601,-2316246,0
13075,301480,6037650,5309160,26,201602,0,-2
6914,301480,6037650,4949160,23,201603,0,-3
14753,301480,6037650,4709760,21,201604,0,-2
32038,301480,6037650,4587360,20,201605,0,-1
40616,301480,6037650,4264540,19,201606,0,-1
20548,301480,6037650,4340660,16,201607,0,-3
3115,301480,6037650,3814440,14,201608,0,-2
37650,301480,6037650,3611400,13,201609,0,-1
33418,301480,6037650,3611400,13,201610,0,0
29881,301480,6037650,2364900,9,201611,0,-4
53474,301480,6037650,2325940,10,201612,0,1
39809,301480,5401573,2156380,9,201701,-636077,-1
61788,301480,5401573,2073320,9,201702,0,0
96872,301480,5401573,1893680,8,201703,0,-1
31711,301480,5401573,2037680,9,201704,0,1
38415,301480,5401573,2187440,10,201705,0,1
48516,301480,5401573,3242240,14,201706,0,4
37420,301480,5401573,3528140,14,201707,0,0
62054,301480,5401573,3528140,14,201708,0,0
52111,301480,5401573,3772940,16,201709,0,2
29271,301480,5401573,3758540,16,201710,0,0
1945,301480,5401573,3758540,16,201711,0,0
82652,301480,5401573,3758540,16,201712,0,0
69659,301480,6699584,3758540,16,201801,1298011,0
39452,301480,6699584,3758540,16,201802,0,0
93046,301480,6699584,3628940,15,201803,0,-1
61005,301480,6699584,3770680,16,201804,0,1
74840,301480,6699584,3547480,14,201805,0,-2
14228,301480,6699584,4168480,18,201806,0,4
81706,301480,6699584,4687860,18,201807,0,0
12371,301480,6699584,4525860,17,201808,0,-1
47641,301480,6699584,4714860,18,201809,0,1
76415,301480,6699584,4898360,19,201810,0,1
52725,301480,6699584,5060360,20,201811,0,1
86281,301480,6699584,5231360,21,201812,0,1
28216,242049,2586419,2236500,14,201511,0,0
59027,242049,2586419,2371500,15,201512,0,1
33500,242049,2630060,2335940,15,201601,43641,0
90966,242049,2630060,2335940,15,201602,0,0
69166,242049,2630060,2236500,14,201603,0,-1
67538,242049,2630060,2101500,13,201604,0,-1
47046,242049,2630060,1966500,12,201605,0,-1
87824,242049,2630060,1966500,12,201606,0,0
31967,242049,2630060,2082360,14,201607,0,2
81054,242049,2630060,1858980,13,201608,0,-1
1569,242049,2630060,1858980,13,201609,0,0
22302,242049,2630060,1858980,13,201610,0,0
46919,242049,2630060,1836480,13,201611,0,0
44060,242049,2630060,1836480,13,201612,0,0
14880,242049,2913156,1723980,12,201701,283096,-1
55436,242049,2913156,1723980,12,201702,0,0
25478,242049,2913156,1903980,13,201703,0,1
98474,242049,2913156,1903980,13,201704,0,0
35277,242049,2913156,1903980,13,201705,0,0
66314,242049,2913156,1903980,13,201706,0,0
71831,242049,2913156,2007100,13,201707,0,0
71449,242049,2913156,2007100,13,201708,0,0
42297,242049,2913156,2232100,13,201709,0,0
65915,242049,2913156,2013040,13,201710,0,0
44744,242049,2913156,1653040,12,201711,0,-1
47982,242049,2913156,1788040,13,201712,0,1
40651,242049,1990822,2130040,14,201801,-922334,1
5401,242049,1990822,2099180,14,201802,0,0
53340,242049,1990822,1966440,13,201803,0,-1
93817,242049,1990822,1966440,13,201804,0,0
19546,242049,1990822,1831440,12,201805,0,-1
53222,242049,1990822,1831440,12,201806,0,0
61344,242049,1990822,1833660,12,201807,0,0
55320,242049,1990822,1986660,13,201808,0,1
54102,242049,1990822,1986660,13,201809,0,0
77475,242049,1990822,1842660,12,201810,0,-1
38721,242049,1990822,2157040,14,201811,0,2
28297,242049,1990822,2013040,13,201812,0,-1
98517,206215,593530,358740,3,201511,0,0
31938,206215,593530,358740,3,201512,0,0
96114,206215,3019711,358740,3,201601,2426181,0
68707,206215,3019711,358740,3,201602,0,0
97203,206215,3019711,358740,3,201603,0,0
41544,206215,3019711,358740,3,201604,0,0
68098,206215,3019711,358740,3,201605,0,0
45283,206215,3019711,494360,4,201606,0,1
66923,206215,3019711,433700,3,201607,0,-1
52383,206215,3019711,582200,4,201608,0,1
1589,206215,3019711,433700,3,201609,0,-1
927,206215,3019711,433700,3,201610,0,0
10173,206215,3019711,636200,4,201611,0,1
45444,206215,3019711,636200,4,201612,0,0
39989,206215,4701114,948400,6,201801,1681403,2
46390,206215,4701114,948400,6,201802,0,0
83039,206215,4701114,948400,6,201803,0,0
7152,206215,4701114,948400,6,201804,0,0
46203,206215,4701114,948400,6,201805,0,0
34164,206215,4701114,948400,6,201806,0,0
83536,206215,4701114,1048840,6,201807,0,0
3744,206215,4701114,1048840,6,201808,0,0
29476,206215,4701114,1048840,6,201809,0,0
59605,206215,4701114,1048840,6,201810,0,0
93341,206215,4701114,1048840,6,201811,0,0
51135,206215,4701114,1048840,6,201812,0,0
78470,348859,3990499,1089720,5,201511,0,0
69941,348859,3990499,1089720,5,201512,0,0
52387,348859,4174628,1089720,5,201601,184129,0
93293,348859,4174628,1089720,5,201602,0,0
17041,348859,4174628,1089720,5,201603,0,0
9227,348859,4174628,1089720,5,201604,0,0
17520,348859,4174628,1241460,6,201605,0,1
71004,348859,4174628,1241460,6,201606,0,0
23023,348859,4174628,1297700,6,201607,0,0
25262,348859,4174628,1162700,5,201608,0,-1
25508,348859,4174628,1162700,5,201609,0,0
77903,348859,4174628,1162700,5,201610,0,0
79081,348859,4174628,1315700,6,201611,0,1
99068,348859,4174628,1173140,5,201612,0,-1
84574,348859,4000700,1116440,5,201701,-173928,0
63756,348859,4000700,1278440,6,201702,0,1
89363,348859,4000700,1182140,5,201703,0,-1
8499,348859,4000700,1182140,5,201704,0,0
49693,348859,4000700,1182140,5,201705,0,0
47264,348859,4000700,1182140,5,201706,0,0
83733,348859,4000700,1207060,5,201707,0,0
69751,348859,4000700,1207060,5,201708,0,0
93657,348859,4000700,1207060,5,201709,0,0
62025,348859,4000700,1207060,5,201710,0,0
19357,348859,4000700,1207060,5,201711,0,0
37321,348859,4000700,1207060,5,201712,0,0
41345,348859,2183827,1022660,4,201801,-1816873,-1
84689,348859,2183827,1382660,6,201802,0,2
53832,348859,2183827,1382660,6,201803,0,0
28600,348859,2183827,1382660,6,201804,0,0
12827,348859,2183827,1355660,6,201805,0,0
62499,348859,2183827,1129940,5,201806,0,-1
70492,348859,2183827,972080,4,201807,0,-1
79373,348859,2183827,1188080,5,201808,0,1
87977,348859,2183827,1017080,4,201809,0,-1
19176,348859,2183827,1017080,4,201810,0,0
60249,348859,2183827,1017080,4,201811,0,0
58856,348859,2183827,1242080,5,201812,0,1
5583,340723,3009349,320740,3,201511,0,0
61226,340723,3009349,320740,3,201512,0,0
7646,340723,2594666,509740,5,201601,-414683,2
71217,340723,2594666,320740,3,201602,0,-2
60202,340723,2594666,320740,3,201603,0,0
42130,340723,2594666,347660,3,201608,0,0
41440,340723,2594666,347660,3,201609,0,0
14265,340723,2594666,347660,3,201610,0,0
46640,340723,2594666,347660,3,201611,0,0
22583,340723,2594666,347660,3,201612,0,0
5684,340723,3194897,347660,3,201701,600231,0
91257,340723,3194897,470060,4,201702,0,1
79988,340723,3194897,470060,4,201703,0,0
11077,340723,3194897,470060,4,201704,0,0
3422,340723,3194897,470060,4,201705,0,0
28624,340723,3194897,353060,3,201706,0,-1
72258,340723,3194897,361340,3,201707,0,0
1515,340723,3194897,361340,3,201708,0,0
37456,340723,3194897,361340,3,201709,0,0
71164,340723,3194897,361340,3,201710,0,0
23666,340723,3194897,361340,3,201711,0,0
11242,340723,3194897,728540,6,201712,0,3
87888,340723,3197860,728540,6,201801,2963,0
68331,340723,3197860,895040,7,201802,0,1
58001,340723,3197860,772640,6,201803,0,-1
91759,340723,3197860,876140,7,201804,0,1
55714,340723,3197860,876140,7,201805,0,0
17358,340723,3197860,876140,7,201806,0,0
51099,340723,3197860,952980,7,201807,0,0
9195,340723,3197860,952980,7,201808,0,0
87354,340723,3197860,952980,7,201809,0,0
57293,340723,3197860,952980,7,201810,0,0
18027,340723,3197860,952980,7,201811,0,0
17042,340723,3197860,952980,7,201812,0,0
78508,450139,788365,500040,3,201511,0,0
3028,450139,788365,500040,3,201512,0,0
2971,450139,1046374,500040,3,201601,258009,0
62364,450139,1046374,500040,3,201602,0,0
10684,450139,1046374,635040,4,201603,0,1
80114,450139,1046374,635040,4,201604,0,0
77041,450139,1046374,635040,4,201605,0,0
81690,450139,1046374,635040,4,201606,0,0
7944,450139,1046374,646380,4,201607,0,0
34102,450139,1046374,646380,4,201608,0,0
18213,450139,1046374,646380,4,201609,0,0
48553,450139,1046374,646380,4,201610,0,0
24182,450139,1046374,646380,4,201611,0,0
70953,450139,1046374,790380,5,201612,0,1
34900,450139,3741043,996640,5,201801,2694669,0
31856,450139,3741043,1455640,7,201802,0,2
10150,450139,3741043,1293640,6,201803,0,-1
2958,450139,3741043,1898060,9,201804,0,3
5037,450139,3741043,1898060,9,201805,0,0
14464,450139,3741043,2416980,12,201806,0,3
32677,450139,3741043,2615980,12,201807,0,0
69572,450139,3741043,3000000,14,201808,0,2
34425,450139,3741043,3000000,14,201809,0,0
26128,450139,3741043,3000000,14,201810,0,0
26676,450139,3741043,2781040,13,201811,0,-1
94540,450139,3741043,2781040,13,201812,0,0
47827,265436,7305327,1731020,7,201511,0,0
30658,265436,7305327,917080,4,201512,0,-3
11607,265436,5573584,917080,4,201601,-1731743,0
66067,265436,5573584,917080,4,201602,0,0
41422,265436,5573584,917080,4,201603,0,0
18852,265436,5573584,1219480,5,201604,0,1
67533,265436,5573584,1142080,5,201605,0,0
86276,265436,5573584,1142080,5,201606,0,0
45664,265436,5573584,1222380,5,201607,0,0
90490,265436,5573584,1532880,7,201608,0,2
48376,265436,5573584,990540,5,201609,0,-2
62221,265436,5573584,990540,5,201610,0,0
74803,265436,5573584,990540,5,201611,0,0
62225,265436,5573584,1089900,5,201612,0,0
15171,265436,7424500,1089900,5,201701,1850916,0
19750,265436,7424500,1089900,5,201702,0,0
38162,265436,7424500,1089900,5,201703,0,0
45270,265436,7424500,1089900,5,201704,0,0
2629,265436,7424500,1407140,6,201705,0,1
41924,265436,7424500,1740140,7,201706,0,1
6663,265436,7424500,1439160,6,201707,0,-1
71688,265436,7424500,1439160,6,201708,0,0
14871,265436,7424500,1592160,7,201709,0,1
3849,265436,7424500,1592160,7,201710,0,0
10882,265436,7424500,1444740,7,201711,0,0
39484,265436,7424500,1444740,7,201712,0,0
95652,137988,16843002,7907580,40,201511,0,0
81863,137988,16843002,7184620,38,201512,0,-2
28826,137988,19354590,8426520,45,201601,2511588,7
11226,137988,19354590,8426520,45,201602,0,0
7015,137988,19354590,7125840,38,201603,0,-7
94000,137988,19354590,6978960,37,201604,0,-1
23802,137988,19354590,6969420,37,201605,0,0
69035,137988,19354590,6293520,34,201606,0,-3
59299,137988,19354590,6704720,36,201607,0,2
16819,137988,19354590,5948860,31,201608,0,-5
90365,137988,19354590,6434320,34,201609,0,3
29315,137988,19354590,7710760,41,201610,0,7
65844,137988,19354590,7183540,40,201611,0,-1
35500,137988,19354590,6799340,39,201612,0,-1
41245,137988,27593685,6604760,38,201701,8239095,-1
58575,137988,27593685,8223580,45,201702,0,7
46831,137988,27593685,8448500,46,201703,0,1
89391,137988,27593685,8344020,45,201704,0,-1
24935,137988,27593685,7470020,41,201705,0,-4
33476,137988,27593685,7384880,40,201706,0,-1
96568,137988,27593685,8980140,44,201707,0,4
13252,137988,27593685,6341760,32,201708,0,-12
36556,137988,27593685,6458980,34,201709,0,2
21762,137988,27593685,6517300,34,201710,0,0
51023,137988,27593685,9322840,49,201711,0,15
54572,137988,27593685,9105240,47,201712,0,-2
48522,137988,26934608,9164820,46,201801,-659077,-1
63695,137988,26934608,9178120,47,201802,0,1
38918,137988,26934608,8827840,45,201803,0,-2
11093,137988,26934608,9309800,47,201804,0,2
29127,137988,26934608,8889340,44,201805,0,-3
45824,137988,26934608,8699720,43,201806,0,-1
45195,137988,26934608,9884780,44,201807,0,1
13369,137988,26934608,9650520,43,201808,0,-1
40658,137988,26934608,10070000,45,201809,0,2
25308,137988,26934608,10861240,50,201810,0,5
11345,137988,26934608,10341440,46,201811,0,-4
69355,137988,26934608,9983960,45,201812,0,-1
63564,129861,33053376,35627980,126,201511,0,0
9642,129861,33053376,35190840,125,201512,0,-1
79956,129861,38367053,34811940,124,201601,5313677,-1
32099,129861,38367053,34472800,124,201602,0,0
23846,129861,38367053,33826800,121,201603,0,-3
