,brandnm,goodsnm,4days,7days
0,FENDI,rogo buckle baguette bag brown,"39,000","49,000"
1,GUCCI,flower pattern clutch bag,"49,000","59,000"
2,CHANEL,classic clutch black,"49,000","59,000"
3,CHANEL,classic rogo big clutch bag black,"49,000","59,000"
4,GUCCI,CG pattern cross bag brown,"49,000","59,000"
5,GUCCI,square shape cross bag black,"49,000","59,000"
6,LOUIS VUITTON,square shape shoulder bag brown,"49,000","59,000"
7,GUCCI,mamont chain cross body bag black,"49,000","59,000"
8,GUCCI,quilted mammont chain cross bag velvet blue,"39,000","49,000"
9,GUCCI,CG opidia supreme tote bag brown,"49,000","59,000"
10,GUCCI,mamont chain cross body bag gray,"39,000","49,000"
11,LOUIS VUITTON,monogram clutch bag brown,"49,000","59,000"
12,CHANEL,signature chain cross bag black,"39,000","49,000"
13,FENDI,monogram zucca tote bag brown,"49,000","59,000"
14,CHANEL,Quilted anamel red clutch,"49,000","59,000"
15,CHANEL,Tote beige bag,"49,000","59,000"
16,CHANEL,matelasse mademoiselle clutch bag black,"39,000","49,000"
17,CHANEL,boy chanel clutch black,"49,000","59,000"
18,CHANEL,mademoiselle chevron clutch bag black,"49,000","59,000"
19,FENDI,regular 2jours skyblue,"49,000","59,000"
20,GUCCI,CG opidia supreme shoulder bag,"49,000","59,000"
21,LOUIS VUITTON,alma epi tote bag purple,"49,000","59,000"
22,GUCCI,mammont tote red,"49,000","59,000"
23,GUCCI,mamont chain cross bag red,"49,000","59,000"
24,CHANEL,chevron quilted clutch bag black,"49,000","59,000"
25,GUCCI,GC rogo pattern superem tote bag brown,"39,000","49,000"
26,CHANEL,classic clutch black,"39,000","49,000"
27,LOUIS VUITTON,epi classic two way bag deepblue,"49,000","59,000"
28,GUCCI,vivid stripe pattern tote bag ivory,"49,000","59,000"
29,GUCCI,mammont fabric clutch bag black,"39,000","49,000"
30,FENDI,3jours two way bag beige,"49,000","59,000"
31,LOUIS VUITTON,studded shoulder bag black,"39,000","49,000"
32,LOUIS VUITTON,monogram clutch brown,"49,000","59,000"
33,SAINT LAURENT,Monogram blogger mini black bag,"49,000","59,000"
34,CHANEL,classic clutch black,"49,000","59,000"
35,LOUIS VUITTON,monogram speedy 40 mini tote bag brown,"49,000","59,000"
36,FENDI,rogo buckle baguette bag brown,"39,000","49,000"
37,GUCCI,flower pattern clutch bag,"49,000","59,000"
38,CHANEL,classic clutch black,"49,000","59,000"
39,CHANEL,classic rogo big clutch bag black,"49,000","59,000"
40,GUCCI,CG pattern cross bag brown,"49,000","59,000"
41,GUCCI,square shape cross bag black,"49,000","59,000"
42,LOUIS VUITTON,square shape shoulder bag brown,"49,000","59,000"
43,GUCCI,mamont chain cross body bag black,"49,000","59,000"
44,GUCCI,quilted mammont chain cross bag velvet blue,"39,000","49,000"
45,GUCCI,CG opidia supreme tote bag brown,"49,000","59,000"
46,GUCCI,mamont chain cross body bag gray,"39,000","49,000"
47,LOUIS VUITTON,monogram clutch bag brown,"49,000","59,000"
48,CHANEL,signature chain cross bag black,"39,000","49,000"
49,FENDI,monogram zucca tote bag brown,"49,000","59,000"
50,CHANEL,Quilted anamel red clutch,"49,000","59,000"
51,CHANEL,Tote beige bag,"49,000","59,000"
52,CHANEL,matelasse mademoiselle clutch bag black,"39,000","49,000"
53,CHANEL,boy chanel clutch black,"49,000","59,000"
54,CHANEL,mademoiselle chevron clutch bag black,"49,000","59,000"
55,FENDI,regular 2jours skyblue,"49,000","59,000"
56,GUCCI,CG opidia supreme shoulder bag,"49,000","59,000"
57,LOUIS VUITTON,alma epi tote bag purple,"49,000","59,000"
58,GUCCI,mammont tote red,"49,000","59,000"
59,GUCCI,mamont chain cross bag red,"49,000","59,000"
60,CHANEL,chevron quilted clutch bag black,"49,000","59,000"
61,GUCCI,GC rogo pattern superem tote bag brown,"39,000","49,000"
62,CHANEL,classic clutch black,"39,000","49,000"
63,LOUIS VUITTON,epi classic two way bag deepblue,"49,000","59,000"
64,GUCCI,vivid stripe pattern tote bag ivory,"49,000","59,000"
65,GUCCI,mammont fabric clutch bag black,"39,000","49,000"
66,FENDI,3jours two way bag beige,"49,000","59,000"
67,LOUIS VUITTON,studded shoulder bag black,"39,000","49,000"
68,LOUIS VUITTON,monogram clutch brown,"49,000","59,000"
69,SAINT LAURENT,Monogram blogger mini black bag,"49,000","59,000"
70,CHANEL,classic clutch black,"49,000","59,000"
71,DELVAUX,presse a5 clutch red,"49,000","59,000"
72,FENDI,peekaboo tote bag beige,"49,000","59,000"
73,GUCCI,GG marmont cross bag bluegreen,"49,000","59,000"
74,GUCCI,mamont chain cross body bag red,"49,000","59,000"
75,SAINT LAURENT,finger patch two way bag red,"39,000","49,000"
76,GUCCI,GG supreme clutch brown,"49,000","59,000"
77,GUCCI,monogram backpack brown,"49,000","59,000"
78,LOUIS VUITTON,verni clutch chain bag pink,"49,000","59,000"
79,CELINE,buckle detail top handle tote bag brown,"49,000","59,000"
80,GUCCI,dionysus cross bag beige,"49,000","59,000"
81,GUCCI,butterfly tote bag,"49,000","59,000"
82,GUCCI,GG marmont belt bag black,"49,000","59,000"
83,LOUIS VUITTON,multi color tote bag,"49,000","59,000"
84,YVES SAINT LAURENT,muze bag black,"39,000","49,000"
85,GUCCI,bamboo detail shoulder bag black,"49,000","59,000"
86,CHRISTIAN DIOR,silver detailed cross bag black,"39,000","49,000"
87,GUCCI,tassel detail logo cross bag black,"49,000","59,000"
88,SAINT LAURENT,chevron clutch black,"49,000","59,000"
89,LOUIS VUITTON,vernis roxbury drive brown,"49,000","59,000"
90,LOUIS VUITTON,Monogram eclipse pochette apollo black clutch bag,"49,000","59,000"
91,GUCCI,monogram strap cross bag brown,"49,000","59,000"
92,GUCCI,Jacquard tote brown bag,"39,000","49,000"
93,GUCCI,GG marmont belt bag bluegreen,"49,000","59,000"
94,YVES SAINT LAURENT,monogram clutch red,"49,000","59,000"
95,GUCCI,GG marmont shoulder bag pink,"49,000","59,000"
96,CHANEL,quilted chain shoulder bag black,"49,000","59,000"
97,FENDI,ff logo point cross bag red,"49,000","59,000"
98,LOUIS VUITTON,epi classic two way bag black,"49,000","59,000"
99,MIU MIU,matelasse chain mini bag pink,"39,000","49,000"
100,LOUIS VUITTON,batignolles tote bag,"49,000","59,000"
101,FENDI,by the way small black,"49,000","59,000"
102,FENDI,unique three color pouch,"49,000","59,000"
103,GUCCI,vintage web round cross bag black,"49,000","59,000"
104,GUCCI,disco cross bag silver,"49,000","59,000"
105,FENDI,regular 2jours black,"49,000","59,000"
106,LOUIS VUITTON,verni monogram tote bag red,"49,000","59,000"
107,LOUIS VUITTON,epi clutch red,"39,000","49,000"
108,YVES SAINT LAURENT,cubic detail fabric clutch black,"49,000","59,000"
109,GUCCI,GG pattern cross body bag beige,"49,000","59,000"
110,GUCCI,mamont chain cross body bag black,"39,000","49,000"
111,PRADA,inside bag beige & pink,"39,000","49,000"
112,GUCCI,GG marmont belt bag red,"39,000","49,000"
113,LOUIS VUITTON,monogram saumur,"39,000","49,000"
114,LOUIS VUITTON,damier ebene cross bag brown,"39,000","49,000"
115,GUCCI,dionysus cross bag beige,"49,000","59,000"
116,SAINT LAURENT,monogram clutch silver,"39,000","49,000"
117,GUCCI,GG soho chain clutch bag black,"49,000","59,000"
118,SAINT LAURENT,monogram clutch pink,"39,000","49,000"
119,GUCCI,horse bit tote monogram bag,"39,000","49,000"
120,LOUIS VUITTON,alma epi pm handbag brown,"39,000","49,000"
121,CELINE,edge bag white & black,"49,000","59,000"
122,FONTANA,diamond pattern tote bag brown,"39,000","49,000"
123,GUCCI,GG marmont quilted-leather belt bag,"39,000","49,000"
124,BALENCIAGA,clip clutch black,"39,000","49,000"
125,CELINE,trio bag black,"49,000","59,000"
126,GUCCI,marmont gg logo quilted bag Black 2,"49,000","59,000"
127,DELVAUX,brillant GM satchel bag,"59,000","69,000"
128,GUCCI,bamboo tote bag,"39,000","49,000"
129,SALVATORE FERRAGAMO,buckle detail tote bag black,"39,000","49,000"
130,YVES SAINT LAURENT,collège medium cross bag,"49,000","59,000"
131,GUCCI,tote bag gray,"49,000","59,000"
132,GUCCI,loved medium backpack,"59,000","69,000"
133,LOUIS VUITTON,monogram canvas clutch bag,"49,000","59,000"
134,GUCCI,marmont gg logo quilted bag Black,"39,000","49,000"
135,HERMES,fabric fourre tout MM tote bag,"39,000","49,000"
136,FENDI,by the way small multi,"49,000","59,000"
137,CELINE,trapeze tote bag black,"34,000","44,000"
138,RIMOWA,topaz 52.,"39,000","49,000"
139,TRAVEL MATE,innovator 20in blue,"34,000","44,000"
140,CHANEL,tassel hobo bag,"49,000","59,000"
141,TRAVEL MATE,dalvik 20 in green,"34,000","44,000"
142,TRAVEL MATE,siffler grip master 19in dark&red,"34,000","44,000"
143,LOUIS VUITTON,verni mini clutch chain bag brown,"39,000","49,000"
144,TRAVEL MATE,clunny tsa 20 in yellow,"34,000","44,000"
145,TRAVEL MATE,antler prism 21in,"34,000","44,000"
146,TRAVEL MATE,BG berlin zip2 plus TSA 21in,"34,000","44,000"
147,TRAVEL MATE,chester Ⅱ 20in beige,"34,000","44,000"
148,TRAVEL MATE,jadine TSA 20 in,"34,000","44,000"
149,GUCCI,unique vintage web mini cross bag,"39,000","49,000"
150,LOUIS VUITTON,monogram speedy tote bag brown,"39,000","49,000"
151,GUCCI,vintage web GG backpack,"49,000","59,000"
152,LOUIS VUITTON,alma epi pm tote bag black,"39,000","49,000"
153,GUCCI,ophidia small black,"39,000","49,000"
154,MIU MIU,matelasse shoulder bag black,"39,000","49,000"
155,GUCCI,dionysus cross bag green,"39,000","49,000"
156,LOUIS VUITTON,chain pattern twist cross bag,"49,000","59,000"
157,CELINE,trio L pink,"49,000","59,000"
158,GUCCI,classic rogo two way bag deep green,"49,000","59,000"
159,GUCCI,quilted mammont chain cross bag black,"49,000","59,000"
160,SAINT LAURENT,Monogram college two way shoulder bag black,"49,000","59,000"
161,CHANEL,big rogo clutch bag black,"49,000","59,000"
162,GUCCI,Mamont clutch black bag,"49,000","59,000"
163,GUCCI,mamont chain cross body bag black,"49,000","59,000"
