,review,cleaning
0,"우선 클로젯셰어 서비스에 대해서 굉장히 만족하고 있습니다. 마음에 드는 옷이 대여중인 경우가 더 많다는것은 아쉽지만, 사람 눈은 다 똑같으니까요..😢 앱 구현도 굉장히 잘 되는 편입니다. 속도도 빠르고 구현이 직관적이며 분류도 잘 되어있습니다. 다만 지금은 필요한 종류의 옷을 검색으로 찾을 만큼 분류가 세분화되진 않은것같아서, 아우터, 드레스, 상의, 하의보다 더 세분화된 카테고리가 있으면 더 좋을 것 같습니다.",우선클로젯셰어서비스에대해서굉장히만족하고있습니다마음에드는옷이대여중인경우가더많다는것은아쉽지만사람눈은다똑같으니까요앱구현도굉장히잘되는편입니다속도도빠르고구현이직관적이며분류도잘되어있습니다다만지금은필요한종류의옷을검색으로찾을만큼분류가세분화되진않은것같아서아우터드레스상의하의보다더세분화된카테고리가있으면더좋을것같습니다
1,"아이디어는 너무 괜찮으나 어플, CS 모두 엉망임 특히 고객센터 응대는 전부터 느꼈지만 메뉴얼이 없는 듯한 느낌. 현재 안드로이드 몇 기종에서 어플이 안열리는 상황이고, 이 상황이 며칠째 이어지고 있는데 공지 하나 없으며 카톡으로만 제공하는 고객센터에 문의하니 어플이 언제 재개 될 지는 모른다는 답 뿐.. 광고는 계속 오더만 오류에 대한 공지는 하나도 없고 현황도 고객센터 물어야만 알 수 있으며, 언제 해결될지는 아무도 모름ㅎㅎ 오류가 꽤 오래 계속 되고 있는데 이런 대처는 도저히 이해할 수 없음. 광고 전에 CS와 어플 개선에 대...
전체 리뷰",아이디어는너무괜찮으나어플CS모두엉망임특히고객센터응대는전부터느꼈지만메뉴얼이없는듯한느낌현재안드로이드몇기종에서어플이안열리는상황이고이상황이며칠째이어지고있는데공지하나없으며카톡으로만제공하는고객센터에문의하니어플이언제재개될지는모른다는답뿐광고는계속오더만오류에대한공지는하나도없고현황도고객센터물어야만알수있으며언제해결될지는아무도모름ㅎㅎ오류가꽤오래계속되고있는데이런대처는도저히이해할수없음광고전에CS와어플개선에대전체리뷰
2,굉장히 느리고 멈추고 앱 구현이 잘 안됩니다 2년전에도 그랬는데 개선이 안됐네요 카테고리도 세분화가 필요하보이며 cs도 개선이 필요해보입니다..,굉장히느리고멈추고앱구현이잘안됩니다2년전에도그랬는데개선이안됐네요카테고리도세분화가필요하보이며cs도개선이필요해보입니다
3,어플이 안열리네요. 내일 제 옷 수거해가는 날짜로 잡아놨는데 어떻게 진행되는지 확인도 못하게 생겼어요ㅜ 개선이 언제 될까요,어플이안열리네요내일제옷수거해가는날짜로잡아놨는데어떻게진행되는지확인도못하게생겼어요ㅜ개선이언제될까요
4,어플이 버거워서 그런지 버퍼가 되는경우가 있는데 서비스자체는 유용해서 자주 사용하고 있어요~^_^,어플이버거워서그런지버퍼가되는경우가있는데서비스자체는유용해서자주사용하고있어요
5,나만그런게아니엇네..어플안켜져요그적게부터...;;평소에도 페이지 넘어가는거넘 오래걸리고 편리한어플은아니엇는데 그냥 구독서비스땜에 쓰는거지,나만그런게아니엇네어플안켜져요그적게부터평소에도페이지넘어가는거넘오래걸리고편리한어플은아니엇는데그냥구독서비스땜에쓰는거지
6,어플이 안열려요 대체 무슨일..? 빨리 해결해주세요.. 어플 키면 그냥 바로 꺼져요,어플이안열려요대체무슨일빨리해결해주세요어플키면그냥바로꺼져요
7,앱 자꾸 꺼짐. 걍 꺼짐. 다시 깔아도 꺼짐. 기본적인 오류 체크도 안함?,앱자꾸꺼짐걍꺼짐다시깔아도꺼짐기본적인오류체크도안함
8,열리지 않아요...ㅠㅠ 지우고 다시 깔아도 마찬가지.,열리지않아요ㅠㅠ지우고다시깔아도마찬가지
9,앱 왜 뒤로가기만 눌러도 계속 꺼져요?,앱왜뒤로가기만눌러도계속꺼져요
