,brandnm,goodsnm,4days,7days
0,BURBERRY,button basic pattern jacket,"39,000","49,000"
1,BURBERRY,belt basic pattern trench-coat khaki,"39,000","49,000"
2,DOLCE & GABBANA,button basic pattern jacket black,"39,000","49,000"
3,PRADA,ruffle basic pattern wool cardigan grey,"39,000","49,000"
4,DOLCE & GABBANA,pocket basic pattern slacks beige,"24,000","34,000"
5,MAX MARA,pintuck basic pattern wool slacks black,"24,000","34,000"
6,ISSEY MIYAKE,pleats graphics pattern cardigan,"39,000","49,000"
7,MAX MARA,button basic pattern jacket pink,"39,000","49,000"
8,VERSACE,stripe pattern tank-top yellow,"24,000","34,000"
9,VERSACE,ribbon basic pattern holter neck tank-top deeppink,"24,000","34,000"
10,MIU MIU,basic pattern top white,"24,000","34,000"
11,BURBERRY,pintuck check pattern wool slacks grey,"24,000","34,000"
12,BURBERRY,check skirt beige,"24,000","34,000"
13,ISSEY MIYAKE,pleats stripe pattern boat neck blouse brown,"24,000","34,000"
14,BURBERRY,flower pattern skirt grey,"24,000","34,000"
15,MIU MIU,pleats check pattern wool pleats-skirt,"24,000","34,000"
16,BALENCIAGA,button basic pattern skirt burgundy,"19,000","29,000"
17,BURBERRY,embroidery basic pattern wool sweater navy,"24,000","34,000"
18,JIL SANDER,banding basic pattern windbreaker brown,"39,000","49,000"
19,GIVENCHY,,"24,000","34,000"
20,ISSEY MIYAKE,basic pattern dress bluegreen,"39,000","49,000"
21,BURBERRY,belt basic pattern trench-coat beige,"39,000","49,000"
22,YVES SAINT LAURENT,tweed pattern linen skirt,"24,000","34,000"
23,YVES SAINT LAURENT,basic pattern skirt navy,"24,000","34,000"
24,FENDI,basic pattern jeans beige,"24,000","34,000"
25,ISSEY MIYAKE,pleats basic pattern flared-skirt purple,"24,000","34,000"
26,PRADA,gather basic pattern skirt black,"24,000","34,000"
27,ISSEY MIYAKE,basic pattern skirt burgundy,"24,000","34,000"
28,BURBERRY,pintuck check pattern wool jeans brown,"24,000","34,000"
29,ISSEY MIYAKE,pocket geometric pattern slacks,"24,000","34,000"
30,MAX MARA,pocket stripe pattern slacks black,"24,000","34,000"
31,YVES SAINT LAURENT,basic pattern wool sweater red,"24,000","34,000"
32,BURBERRY,button check pattern doublebreasted-jacket beige,"39,000","49,000"
33,YVES SAINT LAURENT,pocket basic pattern shirts pink,"24,000","34,000"
34,HUGO BOSS,button stripe pattern shirts yellow,"24,000","34,000"
35,BURBERRY,button basic pattern polo-shirts charcoal,"24,000","34,000"
36,BURBERRY,button basic pattern jacket,"39,000","49,000"
37,BURBERRY,belt basic pattern trench-coat khaki,"39,000","49,000"
38,DOLCE & GABBANA,button basic pattern jacket black,"39,000","49,000"
39,PRADA,ruffle basic pattern wool cardigan grey,"39,000","49,000"
40,DOLCE & GABBANA,pocket basic pattern slacks beige,"24,000","34,000"
41,MAX MARA,pintuck basic pattern wool slacks black,"24,000","34,000"
42,ISSEY MIYAKE,pleats graphics pattern cardigan,"39,000","49,000"
43,MAX MARA,button basic pattern jacket pink,"39,000","49,000"
44,VERSACE,stripe pattern tank-top yellow,"24,000","34,000"
45,VERSACE,ribbon basic pattern holter neck tank-top deeppink,"24,000","34,000"
46,MIU MIU,basic pattern top white,"24,000","34,000"
47,BURBERRY,pintuck check pattern wool slacks grey,"24,000","34,000"
48,BURBERRY,check skirt beige,"24,000","34,000"
49,ISSEY MIYAKE,pleats stripe pattern boat neck blouse brown,"24,000","34,000"
50,BURBERRY,flower pattern skirt grey,"24,000","34,000"
51,MIU MIU,pleats check pattern wool pleats-skirt,"24,000","34,000"
52,BALENCIAGA,button basic pattern skirt burgundy,"19,000","29,000"
53,BURBERRY,embroidery basic pattern wool sweater navy,"24,000","34,000"
54,JIL SANDER,banding basic pattern windbreaker brown,"39,000","49,000"
55,GIVENCHY,,"24,000","34,000"
56,ISSEY MIYAKE,basic pattern dress bluegreen,"39,000","49,000"
57,BURBERRY,belt basic pattern trench-coat beige,"39,000","49,000"
58,YVES SAINT LAURENT,tweed pattern linen skirt,"24,000","34,000"
59,YVES SAINT LAURENT,basic pattern skirt navy,"24,000","34,000"
60,FENDI,basic pattern jeans beige,"24,000","34,000"
61,ISSEY MIYAKE,pleats basic pattern flared-skirt purple,"24,000","34,000"
62,PRADA,gather basic pattern skirt black,"24,000","34,000"
63,ISSEY MIYAKE,basic pattern skirt burgundy,"24,000","34,000"
64,BURBERRY,pintuck check pattern wool jeans brown,"24,000","34,000"
65,ISSEY MIYAKE,pocket geometric pattern slacks,"24,000","34,000"
66,MAX MARA,pocket stripe pattern slacks black,"24,000","34,000"
67,YVES SAINT LAURENT,basic pattern wool sweater red,"24,000","34,000"
68,BURBERRY,button check pattern doublebreasted-jacket beige,"39,000","49,000"
69,YVES SAINT LAURENT,pocket basic pattern shirts pink,"24,000","34,000"
70,HUGO BOSS,button stripe pattern shirts yellow,"24,000","34,000"
71,BURBERRY,button basic pattern polo-shirts charcoal,"24,000","34,000"
72,BURBERRY,pocket basic pattern jacket navy,"24,000","34,000"
73,ISSEY MIYAKE,button stripe pattern bolero,"39,000","49,000"
74,CHLOE,basic pattern jacket black,"39,000","49,000"
75,BURBERRY,frill check pattern shirt-dress,"39,000","49,000"
76,ESCADA,button basic pattern skirt brown,"24,000","34,000"
77,HUGO BOSS,button graphics pattern shirts,"24,000","34,000"
78,HUGO BOSS,basic pattern H-Line wool dress grey,"39,000","49,000"
79,VALENTINO,basic pattern tank-top blue,"24,000","34,000"
80,ISSEY MIYAKE,button basic pattern jacket navy,"39,000","49,000"
81,BURBERRY,hoodie basic pattern wool cape brown,"39,000","49,000"
82,BURBERRY,button check pattern shirts,"24,000","34,000"
83,YVES SAINT LAURENT,button basic pattern blouse blue,"24,000","34,000"
84,MAX MARA,pocket basic pattern jeans olive,"24,000","34,000"
85,BURBERRY,pocket basic pattern zipup-jumper khaki,"39,000","49,000"
86,YVES SAINT LAURENT,basic pattern wool skirt purple,"24,000","34,000"
87,MAX MARA,ruffle check pattern skirt,"24,000","34,000"
88,HUGO BOSS,stripe pattern skirt,"24,000","34,000"
89,BURBERRY LONDON,button stripe pattern wrap-skirt,"19,000","29,000"
90,YVES SAINT LAURENT,button check pattern wool cardigan,"39,000","49,000"
91,AKRIS,ribbon basic pattern skirt black,"24,000","34,000"
92,ISSEY MIYAKE,pleats stripe pattern A-Line dress,"39,000","49,000"
93,ISSEY MIYAKE,pocket basic pattern jacket khaki,"39,000","49,000"
94,LOUIS VUITTON,strap basic pattern coat black,"39,000","49,000"
95,SORRY TOO MUCH LOVE,printing pattern sweat-shirts yellow,"19,000","29,000"
96,MAX MARA,basic pattern H-Line dress grey,"39,000","49,000"
97,ANNA SUI,lettering pattern sweater deeppink,"19,000","29,000"
98,BURBERRY,belt graphics pattern trench-coat beige,"39,000","49,000"
99,BURBERRY,button check pattern shirts,"24,000","34,000"
100,YVES SAINT LAURENT,basic pattern turtle neck wool turtleneck black,"24,000","34,000"
101,ISSEY MIYAKE,pleats zigzag pattern H-Line dress,"39,000","49,000"
102,CHLOE,button basic pattern cashmere cardigan brown,"39,000","49,000"
103,BURBERRY,embroidery lettering pattern wool sweater grey,"24,000","34,000"
104,ISSEY MIYAKE,basic pattern turtle neck top mint,"24,000","34,000"
105,MAX MARA,button basic pattern H-Line shirt-dress khaki,"39,000","49,000"
106,MAX MARA,basic pattern t-shirts black,"24,000","34,000"
107,BURBERRY,belt basic pattern coat beige,"39,000","49,000"
108,BURBERRY,slit check pattern skirt beige,"24,000","34,000"
109,PRADA,button basic pattern cardigan,"39,000","49,000"
110,BURBERRY,check pattern wool skirt,"24,000","34,000"
111,BURBERRY,button basic pattern wool cardigan grey,"39,000","49,000"
112,MIU MIU,flower pattern skirt,"24,000","34,000"
113,BURBERRY,check pattern t-shirts,"24,000","34,000"
114,BURBERRY,button check pattern wool singlebreasted-jacket,"39,000","49,000"
115,HUGO BOSS,pocket basic pattern slacks charcoal,"24,000","34,000"
116,GUCCI,button basic pattern jacket navy,"39,000","49,000"
117,GUCCI,button lettering pattern pants black,"24,000","34,000"
118,BURBERRY,button basic pattern wool singlebreasted-coat beige,"39,000","49,000"
119,ALEXANDER MCQUEEN,basic pattern sweater navy,"24,000","34,000"
120,GIVENCHY,button check pattern shirts navy,"24,000","34,000"
121,VERSACE,button basic pattern jumper charcoal,"34,000","44,000"
122,BURBERRY,button check pattern cardigan grey,"39,000","49,000"
123,JIL SANDER,button basic pattern singlebreasted-coat green,"39,000","49,000"
124,DOLCE & GABBANA,pocket basic pattern slacks red,"24,000","34,000"
125,BURBERRY,pocket check pattern skirt,"24,000","34,000"
126,ALEXANDER MCQUEEN,printing pattern t-shirts black,"24,000","34,000"
127,PRADA,high neck robe jumper gray,"34,000","44,000"
128,THOM BROWNE,basic pattern sweat-shirts grey,"24,000","34,000"
129,BURBERRY,pocket stripe pattern wool slacks beige,"24,000","34,000"
130,AKRIS,button basic pattern wool skirt charcoal,"24,000","34,000"
131,CHLOE,buckle basic pattern pants black,"24,000","34,000"
132,MAX MARA,dots pattern wrap-skirt black,"24,000","34,000"
133,BURBERRY,pocket basic pattern zipup-jumper red,"39,000","49,000"
134,BURBERRY,button basic pattern polo-shirts black,"24,000","34,000"
135,MAX MARA,animal print pattern skirt purple,"24,000","34,000"
136,MIU MIU,pocket basic pattern slacks brown,"24,000","34,000"
137,BURBERRY,button basic pattern polo-shirts deeppink,"24,000","34,000"
138,CELINE,hoodie color block pattern hoodie green,"24,000","34,000"
139,FENDI,ribbon basic pattern sweater khaki,"24,000","34,000"
140,BURBERRY,button basic pattern polo-shirts grey,"24,000","34,000"
141,BURBERRY,basic pattern top grey,"24,000","34,000"
142,YVES SAINT LAURENT,basic pattern wool sweater burgundy,"24,000","34,000"
143,MAX MARA,pocket basic pattern baggy-pants beige,"24,000","34,000"
144,ETRO,button paisley print pattern shirts,"24,000","34,000"
145,BURBERRY,belt basic pattern trench-coat beige,"39,000","49,000"
146,BURBERRY,pocket basic pattern trench-coat navy,"39,000","49,000"
147,BURBERRY,pocket basic pattern wool coat charcoal,"39,000","49,000"
148,MAX MARA,basic pattern wool skirt grey,"24,000","34,000"
149,BURBERRY,button stripe pattern polo-shirts,"24,000","34,000"
150,"CHRISTIAN DIOR,MAJE","check blouse multi,see through leather skirt","39,000","59,000"
151,CHANEL,tweed pattern skirt,"24,000","34,000"
152,BURBERRY,basic pattern turtle neck turtleneck burgundy,"24,000","34,000"
153,JIL SANDER,button basic pattern singlebreasted-coat navy,"39,000","49,000"
154,SAINT LAURENT,printing graphics pattern t-shirts white,"24,000","34,000"
155,BURBERRY,pocket basic pattern wool jacket navy,"39,000","49,000"
156,DOLCE & GABBANA,button basic pattern wool coat red,"39,000","49,000"
157,BURBERRY,button basic pattern wool polo-shirts lavender,"24,000","34,000"
158,BURBERRY,,"24,000","34,000"
159,BURBERRY,belt basic pattern trench-coat beige,"39,000","49,000"
160,BURBERRY,button basic pattern wool coat brown,"39,000","49,000"
161,"PETER PILOTTO,DOLCE & GABBANA","unbalance patterned knit ,semi washing jean","43,000","63,000"
162,BURBERRY,belt basic pattern trench-coat khaki,"39,000","49,000"
163,BURBERRY,pocket basic pattern trench-coat khaki,"39,000","49,000"
164,DOLCE & GABBANA,pocket basic pattern zipup-jumper black,"39,000","49,000"
165,MAX MARA,check pattern slacks brown,"24,000","34,000"
166,ESCADA,embroidery basic pattern wool skirt navy,"24,000","34,000"
167,YVES SAINT LAURENT,button basic pattern coat khaki,"39,000","49,000"
168,BURBERRY,belt basic pattern coat ivory,"39,000","49,000"
169,HUGO BOSS,basic pattern H-Line dress grey,"39,000","49,000"
170,ISSEY MIYAKE,pleats basic pattern A-Line dress blue,"39,000","49,000"
171,CELINE,pocket basic pattern wool slacks black,"24,000","34,000"
172,JIL SANDER,ruffle basic pattern blouse black,"24,000","34,000"
173,CHLOE,basic pattern wool skirt cream,"24,000","34,000"
174,MAX MARA,button basic pattern wool coat black,"39,000","49,000"
175,ALEXANDER MCQUEEN,pocket basic pattern cardigan black,"39,000","49,000"
176,MAX MARA,basic pattern skirt navy,"24,000","34,000"
177,BURBERRY,button basic pattern wool coat brown,"39,000","49,000"
178,ESCADA,slit basic pattern skirt beige,"24,000","34,000"
179,BURBERRY,stripe pattern t-shirts,"24,000","34,000"
180,MAX MARA,pocket basic pattern wool cape brown,"39,000","49,000"
181,BURBERRY,basic pattern sweater pink,"24,000","34,000"
182,CHLOE,pocket tweed pattern wool slacks charcoal,"24,000","34,000"
183,PRADA,button basic pattern coat black,"39,000","49,000"
184,BURBERRY,pocket basic pattern wool doublebreasted-coat,"39,000","49,000"
185,BURBERRY,pocket basic pattern trench-coat beige,"39,000","49,000"
186,CELINE,button basic pattern shirts burgundy,"24,000","34,000"
187,BURBERRY,pocket basic pattern zipup-jumper chocolate,"39,000","49,000"
188,CHRISTIAN DIOR,button basic pattern wool coat grey,"39,000","49,000"
189,RICK OWENS,strap basic pattern jacket navy,"34,000","44,000"
190,JIL SANDER,button basic pattern padding-outer black,"39,000","49,000"
191,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,"39,000","49,000"
192,BURBERRY,button basic pattern tank-top black,"24,000","34,000"
193,BURBERRY,button check pattern shirts beige,"24,000","34,000"
194,BURBERRY,pocket basic pattern padding-outer navy,"39,000","49,000"
195,"CHRISTIAN DIOR,ZARA","simple sleeveless red,heart pattern pants","43,000","63,000"
196,ISSEY MIYAKE,stripe pattern A-Line dress,"39,000","49,000"
197,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,"39,000","49,000"
198,SALVATORE FERRAGAMO,button basic pattern coat charcoal,"39,000","49,000"
199,PRADA,cable pattern wool zipup-jumper grey,"39,000","49,000"
200,MAX MARA,raglan sleeve long padding white,"34,000","44,000"
201,ETRO,pocket basic pattern slacks charcoal,"24,000","34,000"
202,AMENPAPA,pleats color block pattern pleats-skirt multi,"19,000","29,000"
203,VERSACE,button basic pattern H-Line dress black,"39,000","49,000"
204,FENDI,hoodie basic pattern padding-outer navy,"39,000","49,000"
205,BURBERRY,belt basic pattern trench-coat brown,"39,000","49,000"
206,CELINE,basic pattern skirt black,"24,000","34,000"
207,MAX MARA,basic pattern t-shirts beige,"24,000","34,000"
208,BURBERRY,belt basic pattern trench-coat khaki,"39,000","49,000"
209,"CAROLINA HERRERA,CAROLINA HERRERA","peplum dot pattern top,dot pattern slacks black","38,000","58,000"
210,AKRIS,pocket basic pattern slacks black,"24,000","34,000"
211,BURBERRY,basic pattern skirt khaki,"24,000","34,000"
212,GIVENCHY,gather basic pattern unbalance wrap-skirt black,"24,000","34,000"
213,GUCCI,stripe pattern pointed cardigan,"34,000","44,000"
214,ISSEY MIYAKE,graphics pattern top,"24,000","34,000"
215,MAX MARA,strap basic pattern padding-outer ivory,"39,000","49,000"
216,MAX MARA,pocket basic pattern wool cape brown,"39,000","49,000"
217,BURBERRY,basic pattern sweater pink,"24,000","34,000"
218,CHLOE,pocket tweed pattern wool slacks charcoal,"24,000","34,000"
219,PRADA,button basic pattern coat black,"39,000","49,000"
220,BURBERRY,pocket basic pattern wool doublebreasted-coat,"39,000","49,000"
221,BURBERRY,pocket basic pattern trench-coat beige,"39,000","49,000"
222,CELINE,button basic pattern shirts burgundy,"24,000","34,000"
223,BURBERRY,pocket basic pattern zipup-jumper chocolate,"39,000","49,000"
224,CHRISTIAN DIOR,button basic pattern wool coat grey,"39,000","49,000"
225,RICK OWENS,strap basic pattern jacket navy,"34,000","44,000"
226,JIL SANDER,button basic pattern padding-outer black,"39,000","49,000"
227,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,"39,000","49,000"
228,BURBERRY,button basic pattern tank-top black,"24,000","34,000"
229,BURBERRY,button check pattern shirts beige,"24,000","34,000"
230,BURBERRY,pocket basic pattern padding-outer navy,"39,000","49,000"
231,"CHRISTIAN DIOR,ZARA","simple sleeveless red,heart pattern pants","43,000","63,000"
232,ISSEY MIYAKE,stripe pattern A-Line dress,"39,000","49,000"
233,BURBERRY,pocket basic pattern wool singlebreasted-coat navy,"39,000","49,000"
234,SALVATORE FERRAGAMO,button basic pattern coat charcoal,"39,000","49,000"
235,PRADA,cable pattern wool zipup-jumper grey,"39,000","49,000"
236,MAX MARA,raglan sleeve long padding white,"34,000","44,000"
237,ETRO,pocket basic pattern slacks charcoal,"24,000","34,000"
238,AMENPAPA,pleats color block pattern pleats-skirt multi,"19,000","29,000"
239,VERSACE,button basic pattern H-Line dress black,"39,000","49,000"
240,FENDI,hoodie basic pattern padding-outer navy,"39,000","49,000"
241,BURBERRY,belt basic pattern trench-coat brown,"39,000","49,000"
242,CELINE,basic pattern skirt black,"24,000","34,000"
243,MAX MARA,basic pattern t-shirts beige,"24,000","34,000"
244,BURBERRY,belt basic pattern trench-coat khaki,"39,000","49,000"
245,"CAROLINA HERRERA,CAROLINA HERRERA","peplum dot pattern top,dot pattern slacks black","38,000","58,000"
246,AKRIS,pocket basic pattern slacks black,"24,000","34,000"
247,BURBERRY,basic pattern skirt khaki,"24,000","34,000"
248,GIVENCHY,gather basic pattern unbalance wrap-skirt black,"24,000","34,000"
249,GUCCI,stripe pattern pointed cardigan,"34,000","44,000"
250,ISSEY MIYAKE,graphics pattern top,"24,000","34,000"
251,MAX MARA,strap basic pattern padding-outer ivory,"39,000","49,000"
252,GIVENCHY,pocket basic pattern wool singlebreasted-jacket grey,"39,000","49,000"
253,SALVATORE FERRAGAMO,button graphics pattern wool jacket black,"39,000","49,000"
254,ETRO,paisley print pattern coat ivory,"39,000","49,000"
255,GUCCI,basic pattern skirt black,"24,000","34,000"
256,BOTTEGA VENETA,button graphics pattern cashmere cardigan multi,"24,000","34,000"
257,"O'2ND,GUCCI","embroidery lace skirt charcoal,buckle shirt","39,000","59,000"
258,MAX MARA,button basic pattern jacket grey,"39,000","49,000"
259,BURBERRY,button check pattern wool jacket,"39,000","49,000"
